"店铺名称2","店铺连接","店铺名称","掌柜ID","产品标题","产品链接","价格1","积累评论数量","价格","字段6","字段7","追评","时间","字段22","字段9","图片1","图片2","追平1","追平2","追评3","追评4","字段17"
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","x***6（匿名）","收到鞋了，马上试试，上脚很合适，走路还挺很舒服的，仔细看看，是正品，没有毛病，价格实惠，推荐。",,"2018年02月04日 12:22",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","d***q（匿名）","鞋子很合脚 码数很正 穿起来很舒服 价格便宜 性价比高 值得购买",,"2018年01月27日 11:45",,"颜色分类：高帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","叶***6（匿名）","鞋子质量棒棒哒，因为这家店铺的鞋子不错，所以身边的朋友也让我帮忙在这里买，会一直支持你的哦",,"2018年01月21日 11:23",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","如***昕","鞋子收到了，和描述的一样，质量很好码数也标准，试了一下很合脚，有需要还会回购的",,"2018年02月02日 16:14",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","w***9（匿名）","宝贝收到了，质量挺好的鞋底也很软，鞋子给图片一样没有色差， 很好搭衣服   特别喜欢。",,"2018年01月19日 12:12",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","董***1（匿名）","鞋子收到了，款式好看，看上去质量挺好的，喜欢的朋友可以下手",,"2018年01月21日 12:43",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","一***5（匿名）","东西收到了，很不错，质量很好，没有色差，一看就是正品，码数标准，老公很喜欢",,"2018年01月19日 15:03",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","t***1（匿名）","不是正版 但好看 穿起来也舒服",,"2018年01月26日 19:19",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","v***贝（匿名）","质量蛮不错的，价格实惠，款式很赞物美价廉，以后还会光顾的",,"2018年01月28日 13:21",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","8***长（匿名）","终于把你盼来了，立马就打开了让老公试一下，非常适合，老公穿上非常喜欢，大小刚好，非常高兴",,"2018年01月24日 20:11",,"颜色分类：低帮",,,,,,,
,,"万斯好货店","一生何求2366612243","官方正品万斯旗舰店官网男鞋女鞋低帮经典款帆布鞋高帮学生滑板鞋","https://item.taobao.com/item.htm?id=562761225182&ns=1&abbucket=12#detail","316.00-376.00","2447","158.00-188.00","米***n（匿名）","鞋子已经收到，码数合适，版型设计风格简约大方，质量好",,"2018年01月18日 20:34",,"颜色分类：低帮",,,,,,,
